k_diag,k_bert,method,rewiring,experiment_id,n_edges,n_nodes,density,graph_prefix,status,r2_seed_42,time_seed_42,r2_mean,r2_std,r2_min,r2_max,successful_seeds,avg_training_time
1,1,faiss,none,k1_1_faiss_none,112231,65347,5.256518114427868e-05,gps_k1_1_fa_,completed,0.4169313907623291,517.9347546100616,0.4169313907623291,0.0,0.4169313907623291,0.4169313907623291,1,517.9347546100616
1,1,faiss,gdc_light,k1_1_faiss_gdc_light,112431,65347,5.265885433821668e-05,gps_k1_1_fa_gdcl_,completed,0.4121416211128235,418.55199790000916,0.4121416211128235,0.0,0.4121416211128235,0.4121416211128235,1,418.55199790000916
1,1,faiss,mst,k1_1_faiss_mst,112231,65347,5.256518114427868e-05,gps_k1_1_fa_mst_,completed,0.40522491931915283,419.66737627983093,0.40522491931915283,0.0,0.40522491931915283,0.40522491931915283,1,419.66737627983093
1,1,tfidf,none,k1_1_tfidf_none,107057,65347,5.0141855617102607e-05,gps_k1_1_tf_,completed,0.41603249311447144,337.0324113368988,0.41603249311447144,0.0,0.41603249311447144,0.41603249311447144,1,337.0324113368988
1,1,tfidf,gdc_light,k1_1_tfidf_gdc_light,107257,65347,5.023552881104061e-05,gps_k1_1_tf_gdcl_,completed,0.41583430767059326,346.2103409767151,0.41583430767059326,0.0,0.41583430767059326,0.41583430767059326,1,346.2103409767151
1,1,tfidf,mst,k1_1_tfidf_mst,107057,65347,5.0141855617102607e-05,gps_k1_1_tf_mst_,completed,0.42267560958862305,338.36424446105957,0.42267560958862305,0.0,0.42267560958862305,0.42267560958862305,1,338.36424446105957
1,1,penalize,none,k1_1_penalize_none,106614,65347,4.9934369492529936e-05,gps_k1_1_pn_,completed,0.41961514949798584,340.2670056819916,0.41961514949798584,0.0,0.41961514949798584,0.41961514949798584,1,340.2670056819916
1,1,penalize,gdc_light,k1_1_penalize_gdc_light,106814,65347,5.0028042686467936e-05,gps_k1_1_pn_gdcl_,completed,0.4193164110183716,336.60830545425415,0.4193164110183716,0.0,0.4193164110183716,0.4193164110183716,1,336.60830545425415
1,1,penalize,mst,k1_1_penalize_mst,106618,65347,4.99362429564087e-05,gps_k1_1_pn_mst_,completed,0.4070284366607666,334.8904221057892,0.4070284366607666,0.0,0.4070284366607666,0.4070284366607666,1,334.8904221057892
1,3,faiss,none,k1_3_faiss_none,242833,65347,0.0001137347135177324,gps_k1_3_fa_,completed,0.4099147915840149,477.2917263507843,0.4099147915840149,0.0,0.4099147915840149,0.4099147915840149,1,477.2917263507843
1,3,faiss,gdc_light,k1_3_faiss_gdc_light,243033,65347,0.0001138283867116704,gps_k1_3_fa_gdcl_,completed,0.42040491104125977,475.53272438049316,0.42040491104125977,0.0,0.42040491104125977,0.42040491104125977,1,475.53272438049316
1,3,faiss,mst,k1_3_faiss_mst,242833,65347,0.0001137347135177324,gps_k1_3_fa_mst_,completed,0.4158588647842407,475.6719629764557,0.4158588647842407,0.0,0.4158588647842407,0.4158588647842407,1,475.6719629764557
1,3,tfidf,none,k1_3_tfidf_none,237595,65347,0.00011128141256849617,gps_k1_3_tf_,completed,0.40579622983932495,401.88817381858826,0.40579622983932495,0.0,0.40579622983932495,0.40579622983932495,1,401.88817381858826
1,3,tfidf,gdc_light,k1_3_tfidf_gdc_light,237795,65347,0.00011137508576243417,gps_k1_3_tf_gdcl_,completed,0.4226919412612915,398.79897141456604,0.4226919412612915,0.0,0.4226919412612915,0.4226919412612915,1,398.79897141456604
1,3,tfidf,mst,k1_3_tfidf_mst,237595,65347,0.00011128141256849617,gps_k1_3_tf_mst_,completed,0.4096156358718872,401.06272554397583,0.4096156358718872,0.0,0.4096156358718872,0.4096156358718872,1,401.06272554397583
1,3,penalize,none,k1_3_penalize_none,237179,65347,0.00011108657232510513,gps_k1_3_pn_,completed,0.41800862550735474,397.18189454078674,0.41800862550735474,0.0,0.41800862550735474,0.41800862550735474,1,397.18189454078674
1,3,penalize,gdc_light,k1_3_penalize_gdc_light,237379,65347,0.00011118024551904313,gps_k1_3_pn_gdcl_,completed,0.42065227031707764,395.5586197376251,0.42065227031707764,0.0,0.42065227031707764,0.42065227031707764,1,395.5586197376251
1,3,penalize,mst,k1_3_penalize_mst,237179,65347,0.00011108657232510513,gps_k1_3_pn_mst_,completed,0.41501039266586304,396.7657606601715,0.41501039266586304,0.0,0.41501039266586304,0.41501039266586304,1,396.7657606601715
3,1,faiss,none,k3_1_faiss_none,206847,65347,9.688009573246797e-05,gps_k3_1_fa_,completed,0.4139413833618164,696.1714758872986,0.4139413833618164,0.0,0.4139413833618164,0.4139413833618164,1,696.1714758872986
3,1,faiss,gdc_light,k3_1_faiss_gdc_light,207047,65347,9.697376892640597e-05,gps_k3_1_fa_gdcl_,completed,0.4160979390144348,696.1061222553253,0.4160979390144348,0.0,0.4160979390144348,0.4160979390144348,1,696.1061222553253
3,1,faiss,mst,k3_1_faiss_mst,206847,65347,9.688009573246797e-05,gps_k3_1_fa_mst_,completed,0.4188224673271179,697.0926461219788,0.4188224673271179,0.0,0.4188224673271179,0.4188224673271179,1,697.0926461219788
3,1,tfidf,none,k3_1_tfidf_none,186078,65347,8.71526029079763e-05,gps_k3_1_tf_,completed,0.4192233681678772,619.5161776542664,0.4192233681678772,0.0,0.4192233681678772,0.4192233681678772,1,619.5161776542664
3,1,tfidf,gdc_light,k3_1_tfidf_gdc_light,186278,65347,8.72462761019143e-05,gps_k3_1_tf_gdcl_,completed,0.4150853157043457,618.7680509090424,0.4150853157043457,0.0,0.4150853157043457,0.4150853157043457,1,618.7680509090424
3,1,tfidf,mst,k3_1_tfidf_mst,186078,65347,8.71526029079763e-05,gps_k3_1_tf_mst_,completed,0.4171597957611084,620.8991932868958,0.4171597957611084,0.0,0.4171597957611084,0.4171597957611084,1,620.8991932868958
3,1,penalize,none,k3_1_penalize_none,186655,65347,8.742285007248744e-05,gps_k3_1_pn_,completed,0.41839146614074707,655.6317944526672,0.41839146614074707,0.0,0.41839146614074707,0.41839146614074707,1,655.6317944526672
3,1,penalize,gdc_light,k3_1_penalize_gdc_light,186855,65347,8.751652326642544e-05,gps_k3_1_pn_gdcl_,completed,0.4174691438674927,659.3852670192719,0.4174691438674927,0.0,0.4174691438674927,0.4174691438674927,1,659.3852670192719
