parameter,mamba_d_model,mean,std,mamba_layers,mamba_d_state,mamba_dropout,gps_layers,gps_dropout,lg_alpha,lr,clip_grad
mamba_d_model,64.0,0.30430423551135594,0.14938056463964872,,,,,,,,
mamba_d_model,128.0,0.3534678497484752,0.017747150819034087,,,,,,,,
mamba_d_model,256.0,0.3543490966161092,0.011064598952619895,,,,,,,,
mamba_layers,,0.33307017882664997,0.0987949901642667,2.0,,,,,,,
mamba_layers,,0.349273182451725,0.01946699049973284,3.0,,,,,,,
mamba_layers,,0.3552338055201939,0.014161654711011667,4.0,,,,,,,
mamba_d_state,,0.3575980067253113,0.014608172036474926,,8.0,,,,,,
mamba_d_state,,0.35700732469558716,0.007715961793032032,,16.0,,,,,,
mamba_d_state,,0.3436119357744853,0.015449343147040027,,32.0,,,,,,
mamba_d_state,,0.31350689629713696,0.12913651305839563,,64.0,,,,,,
mamba_dropout,,0.35357634822527567,0.017143956302542455,,,0.1,,,,,
mamba_dropout,,0.3195878496536842,0.12448049184212615,,,0.2,,,,,
gps_layers,,0.34821104258298874,0.015296631306740164,,,,2.0,,,,
gps_layers,,0.3548373430967331,0.01673226657639648,,,,3.0,,,,
gps_layers,,0.31455890157006006,0.13579192674714263,,,,4.0,,,,
gps_dropout,,0.3561353665940902,0.015930495913204026,,,,,0.1,,,
gps_dropout,,0.29481444756189984,0.1456931823917813,,,,,0.2,,,
lg_alpha,,0.33281163792861135,0.10409297546132595,,,,,,0.3,,
lg_alpha,,0.35080650448799133,0.015666759552831987,,,,,,0.5,,
lg_alpha,,0.35187068581581116,0.017032681452771814,,,,,,0.7,,
lr,,-0.09299361705780029,,,,,,,,1.0168868871700218e-05,
lr,,0.34276944398880005,,,,,,,,2.6478865363611782e-05,
lr,,0.36957621574401855,,,,,,,,4.386074541249142e-05,
lr,,0.3657456636428833,,,,,,,,6.040518840800641e-05,
lr,,0.36938536167144775,,,,,,,,0.00015972790449723232,
lr,,0.37148338556289673,,,,,,,,0.00037975061113869617,
lr,,0.3560304641723633,,,,,,,,0.0003817320728258046,
lr,,0.38489246368408203,,,,,,,,0.0003970703912602035,
lr,,0.3570232391357422,,,,,,,,0.00043312931892191875,
lr,,0.35465431213378906,,,,,,,,0.0004596994999804271,
lr,,0.35113245248794556,,,,,,,,0.0004799294172753628,
lr,,0.3845122456550598,,,,,,,,0.0004941462204384351,
lr,,0.3588505983352661,,,,,,,,0.0005026194105678039,
lr,,0.3568093180656433,,,,,,,,0.0005220868271016467,
lr,,0.37553733587265015,,,,,,,,0.0005570850650397309,
lr,,0.3667674660682678,,,,,,,,0.0005583342160837054,
lr,,0.3386140465736389,,,,,,,,0.0005603407984432451,
lr,,0.37377363443374634,,,,,,,,0.000568114584282295,
lr,,0.36634254455566406,,,,,,,,0.0005690953507322628,
lr,,0.33998799324035645,,,,,,,,0.0005747182887480711,
lr,,0.37118810415267944,,,,,,,,0.0005864351350918133,
lr,,0.3472634553909302,,,,,,,,0.000590504015062033,
lr,,0.34414952993392944,,,,,,,,0.0005950764350914428,
lr,,0.34949880838394165,,,,,,,,0.0006294552078062117,
lr,,0.32315582036972046,,,,,,,,0.0006466961057464763,
lr,,0.3272694945335388,,,,,,,,0.000664267135616515,
lr,,0.3539454936981201,,,,,,,,0.0006788869606921272,
lr,,0.3368169665336609,,,,,,,,0.0006813625531269786,
lr,,0.3551575541496277,,,,,,,,0.0006921486755348822,
lr,,0.34276020526885986,,,,,,,,0.0007039464959718752,
lr,,0.348333477973938,,,,,,,,0.0007331509896867213,
lr,,0.3578870892524719,,,,,,,,0.0007474862111196843,
lr,,0.35579729080200195,,,,,,,,0.0007638888320978336,
lr,,0.33893316984176636,,,,,,,,0.0008006789297955048,
lr,,0.34445077180862427,,,,,,,,0.0008044552908106394,
lr,,0.36116719245910645,,,,,,,,0.0008397736048706257,
lr,,0.3266228437423706,,,,,,,,0.0008718045601417525,
lr,,0.32297593355178833,,,,,,,,0.0008792297599914313,
lr,,0.37361079454421997,,,,,,,,0.0009159884599613117,
lr,,0.3541438579559326,,,,,,,,0.0009737532726631766,
lr,,0.33475929498672485,,,,,,,,0.0009743699326544212,
lr,,0.34768813848495483,,,,,,,,0.0009824707766845247,
lr,,0.3534626364707947,,,,,,,,0.0009844900653168077,
clip_grad,,0.31276937506415625,0.13533260663551855,,,,,,,,0.0
clip_grad,,0.3535646398862203,0.010846318462273147,,,,,,,,2.0
clip_grad,,0.3538492895089663,0.017238904658396077,,,,,,,,5.0
