mamba_d_model,mamba_layers,val_r2,param1,param2,gps_layers,lg_alpha
64.0,2.0,0.23975662887096405,mamba_d_model,mamba_layers,,
64.0,3.0,0.362973948319753,mamba_d_model,mamba_layers,,
64.0,4.0,0.34539487957954407,mamba_d_model,mamba_layers,,
128.0,2.0,0.3556527137756348,mamba_d_model,mamba_layers,,
128.0,3.0,0.3410527229309082,mamba_d_model,mamba_layers,,
128.0,4.0,0.3571306839585304,mamba_d_model,mamba_layers,,
256.0,2.0,0.350328266620636,mamba_d_model,mamba_layers,,
256.0,4.0,0.3563595116138458,mamba_d_model,mamba_layers,,
64.0,,0.3493953347206116,mamba_d_model,gps_layers,2.0,
64.0,,0.33475929498672485,mamba_d_model,gps_layers,3.0,
64.0,,0.2841980258623759,mamba_d_model,gps_layers,4.0,
128.0,,0.34433336555957794,mamba_d_model,gps_layers,2.0,
128.0,,0.3561769950957525,mamba_d_model,gps_layers,3.0,
128.0,,0.346683144569397,mamba_d_model,gps_layers,4.0,
256.0,,0.3547821044921875,mamba_d_model,gps_layers,2.0,
256.0,,0.3508100211620331,mamba_d_model,gps_layers,3.0,
256.0,,0.35745516419410706,mamba_d_model,gps_layers,4.0,
64.0,,0.26263407468795774,mamba_d_model,lg_alpha,,0.3
64.0,,0.36116719245910645,mamba_d_model,lg_alpha,,0.5
64.0,,0.35480018456776935,mamba_d_model,lg_alpha,,0.7
128.0,,0.3578741275347196,mamba_d_model,lg_alpha,,0.3
128.0,,0.3479597171147664,mamba_d_model,lg_alpha,,0.5
128.0,,0.35007141530513763,mamba_d_model,lg_alpha,,0.7
256.0,,0.3578870892524719,mamba_d_model,lg_alpha,,0.3
256.0,,0.3498963415622711,mamba_d_model,lg_alpha,,0.5
256.0,,0.35613826910654706,mamba_d_model,lg_alpha,,0.7
,2.0,0.34276020526885986,mamba_layers,gps_layers,2.0,
,2.0,0.3548475094139576,mamba_layers,gps_layers,3.0,
,2.0,0.24353834986686707,mamba_layers,gps_layers,4.0,
,3.0,0.32315582036972046,mamba_layers,gps_layers,2.0,
,3.0,0.34487324953079224,mamba_layers,gps_layers,3.0,
,3.0,0.35625662803649905,mamba_layers,gps_layers,4.0,
,4.0,0.35329538583755493,mamba_layers,gps_layers,2.0,
,4.0,0.35813159743944806,mamba_layers,gps_layers,3.0,
,4.0,0.3523556888103485,mamba_layers,gps_layers,4.0,
,2.0,0.3316265145937602,mamba_layers,lg_alpha,,0.3
,2.0,0.34896349906921387,mamba_layers,lg_alpha,,0.5
,2.0,0.3272694945335388,mamba_layers,lg_alpha,,0.7
,3.0,0.3541438579559326,mamba_layers,lg_alpha,,0.3
,3.0,0.3420715630054474,mamba_layers,lg_alpha,,0.5
,3.0,0.3511796951293945,mamba_layers,lg_alpha,,0.7
,4.0,0.36138445138931274,mamba_layers,lg_alpha,,0.5
,4.0,0.35420869787534076,mamba_layers,lg_alpha,,0.7
,,0.34276020526885986,gps_layers,lg_alpha,2.0,0.3
,,0.3657456636428833,gps_layers,lg_alpha,2.0,0.5
,,0.34619707862536114,gps_layers,lg_alpha,2.0,0.7
,,0.3578741275347196,gps_layers,lg_alpha,3.0,0.3
,,0.34896349906921387,gps_layers,lg_alpha,3.0,0.5
,,0.35175617535909015,gps_layers,lg_alpha,3.0,0.7
,,0.2656594514846802,gps_layers,lg_alpha,4.0,0.3
,,0.34705545504887897,gps_layers,lg_alpha,4.0,0.5
,,0.3635614315668742,gps_layers,lg_alpha,4.0,0.7
