mamba_d_model,mamba_layers,mamba_d_state,mamba_dropout,mamba_pooling,gps_layers,gps_dropout,lg_alpha,lr,batch_size,clip_grad,sampling_config,val_loss,val_r2,kappa,mad,mse,mape,msle,trial_number
64,2,64,0.2,last,4,0.2,0.3,1.0168868871700218e-05,64,0.0,"(25, 15)",0.0448153093457222,-0.09299361705780029,0.0548202283680439,0.5487214922904968,0.46644726395606995,68.73208618164062,0.39621540904045105,0
64,4,32,0.2,mean,2,0.2,0.7,0.0003817320728258046,128,5.0,"(25, 15)",0.02793722413480282,0.3560304641723633,0.3318069875240326,0.3989538252353668,0.2748212218284607,44.496116638183594,0.24256499111652374,1
128,4,16,0.2,last,2,0.1,0.5,6.040518840800641e-05,256,0.0,"(25, 15)",0.024938909336924553,0.3657456636428833,0.3073016405105591,0.39780038595199585,0.2706751525402069,44.863380432128906,0.2366940677165985,2
256,2,32,0.1,mean,3,0.2,0.5,2.6478865363611782e-05,64,2.0,"(15, 10)",0.025959907099604607,0.34276944398880005,0.2915348708629608,0.40583091974258423,0.2804805040359497,45.90775680541992,0.2449692338705063,3
256,4,64,0.2,last,2,0.1,0.7,4.386074541249142e-05,256,2.0,"(15, 10)",0.025061719119548798,0.36957621574401855,0.2910473346710205,0.40316349267959595,0.26904040575027466,47.4581413269043,0.24529646337032318,4
64,3,16,0.1,last,4,0.1,0.3,0.0009737532726631766,256,2.0,"(15, 10)",0.02604745700955391,0.3541438579559326,0.3578461706638336,0.3984607756137848,0.27562636137008667,43.830177307128906,0.24157224595546722,5
64,2,64,0.2,mean,2,0.2,0.3,0.0007039464959718752,128,0.0,"(15, 10)",0.026922279968857765,0.34276020526885986,0.34578853845596313,0.40365180373191833,0.2804844379425049,46.738861083984375,0.25084057450294495,7
64,3,8,0.2,last,4,0.1,0.7,0.0009159884599613117,128,0.0,"(15, 10)",0.02620970457792282,0.37361079454421997,0.36137595772743225,0.393481969833374,0.26731860637664795,43.98259735107422,0.23725971579551697,8
128,3,8,0.1,mean,4,0.1,0.7,0.00015972790449723232,128,0.0,"(15, 10)",0.027554696425795555,0.36938536167144775,0.35261476039886475,0.3944670557975769,0.26912185549736023,43.84711456298828,0.23889724910259247,10
128,4,64,0.1,last,3,0.1,0.7,0.0003970703912602035,64,5.0,"(15, 10)",0.025645680725574493,0.38489246368408203,0.3515065908432007,0.39029115438461304,0.2625040113925934,43.78634262084961,0.2340431660413742,14
128,4,8,0.1,last,3,0.1,0.7,0.00037975061113869617,64,5.0,"(15, 10)",0.026198677718639374,0.37148338556289673,0.35210031270980835,0.3920242488384247,0.2682265043258667,43.22553253173828,0.23613788187503815,15
128,3,16,0.1,last,3,0.1,0.7,0.0004799294172753628,64,5.0,"(15, 10)",0.02723700925707817,0.35113245248794556,0.3384310007095337,0.4006672203540802,0.27691149711608887,45.516021728515625,0.24857577681541443,16
64,3,64,0.1,mean,4,0.1,0.5,0.0008397736048706257,128,0.0,"(15, 10)",0.02640782669186592,0.36116719245910645,0.3561660349369049,0.3965003192424774,0.272629052400589,44.46804428100586,0.24242864549160004,18
128,2,8,0.1,last,3,0.1,0.3,0.000568114584282295,64,5.0,"(15, 10)",0.02564169652760029,0.37377363443374634,0.34708887338638306,0.395391047000885,0.26724913716316223,45.42674255371094,0.24122239649295807,19
128,2,8,0.1,last,3,0.1,0.3,0.0005583342160837054,64,5.0,"(15, 10)",0.02529820054769516,0.3667674660682678,0.3562641441822052,0.3918432593345642,0.27023908495903015,42.049278259277344,0.23306213319301605,21
128,2,8,0.1,last,3,0.1,0.3,0.0005864351350918133,64,5.0,"(15, 10)",0.025745730847120285,0.37118810415267944,0.34794965386390686,0.39637014269828796,0.2683525085449219,45.57432556152344,0.24226078391075134,22
128,3,32,0.1,mean,3,0.2,0.7,0.0005603407984432451,64,5.0,"(25, 15)",0.027531582862138748,0.3386140465736389,0.35171347856521606,0.40190672874450684,0.28225386142730713,44.702030181884766,0.2501375675201416,26
64,2,64,0.2,last,4,0.2,0.3,0.0007638888320978336,64,0.0,"(25, 15)",0.02586791291832924,0.35579729080200195,0.3508133292198181,0.39656180143356323,0.2749207317829132,43.20085525512695,0.23892483115196228,29
128,4,8,0.1,last,3,0.1,0.7,0.0004596994999804271,64,5.0,"(15, 10)",0.02710793912410736,0.35465431213378906,0.344181627035141,0.4019666314125061,0.2754085063934326,46.20167922973633,0.2465004324913025,33
128,4,8,0.1,mean,3,0.2,0.7,0.0005950764350914428,64,5.0,"(25, 15)",0.02745344303548336,0.34414952993392944,0.36069101095199585,0.3979837894439697,0.2798915207386017,43.70549774169922,0.246378093957901,34
64,4,32,0.2,last,3,0.1,0.7,0.0009743699326544212,64,0.0,"(15, 10)",0.027273986488580704,0.33475929498672485,0.3543170988559723,0.40224510431289673,0.2838989198207855,43.65658187866211,0.2506921887397766,35
128,2,64,0.1,mean,3,0.2,0.7,0.000664267135616515,64,0.0,"(15, 10)",0.027939800173044205,0.3272694945335388,0.3507096767425537,0.40522927045822144,0.2870952785015106,45.266326904296875,0.2525499165058136,38
128,2,8,0.1,last,3,0.1,0.3,0.0006788869606921272,64,5.0,"(15, 10)",0.02591416984796524,0.3539454936981201,0.3528473675251007,0.39592501521110535,0.2757109999656677,42.50006103515625,0.23866340517997742,41
128,2,8,0.1,last,3,0.1,0.3,0.0004941462204384351,64,5.0,"(15, 10)",0.025174343958497047,0.3845122456550598,0.3511549234390259,0.39125290513038635,0.2626662850379944,44.59626388549805,0.23668380081653595,42
128,4,64,0.2,last,4,0.1,0.7,0.0009824707766845247,128,5.0,"(15, 10)",0.027071962133049965,0.34768813848495483,0.3426373600959778,0.39969679713249207,0.2783813774585724,45.138648986816406,0.24583443999290466,47
256,4,8,0.2,last,4,0.1,0.5,0.00043312931892191875,256,2.0,"(15, 10)",0.026695113629102707,0.3570232391357422,0.33093878626823425,0.39902082085609436,0.27439752221107483,44.98185348510742,0.24476377665996552,50
128,2,8,0.1,last,3,0.1,0.3,0.000590504015062033,64,5.0,"(15, 10)",0.026749935001134872,0.3472634553909302,0.33572956919670105,0.4030488133430481,0.27856263518333435,45.80122756958008,0.2483794391155243,51
