model,peak_vram_mean,r2_mean,r2_std
dynamic_lstmgnn_gat,3.1487,0.27295657,0.016831615
dynamic_lstmgnn_mpnn,3.3642,0.285805364,0.0209524
gnn_gat,2.2218,0.279552281,0.005528521
lstmgnn_mpnn,2.0407,0.299174428,0.001434302
bilstm,2.01,0.27902468,0.027862657
graphgps,12.7369,0.369298081,0.021688567
lstmgnn_sage,2.1737,0.291258613,0.01015639
lstmgnn_gat,2.2545,0.293328444,0.017111774
dynamic_lstmgnn_gcn,2.9761,0.28881071,0.003297368
mamba,0.356,0.341757635,0.005473047
mamba_gps,17.8627,0.410780748,0.005254441
