Model,Params,GPU-h,MSE,MAD,MAPE,R2,KAPPA,MSLE,VRAM (GB)
dynamic_lstmgnn_gat,546.9K,0.049,0.314±0.007,0.419±0.002,41.801±1.341,0.273±0.017,0.268±0.018,0.237±0.003,0.1
dynamic_lstmgnn_mpnn,819.6K,0.046,0.309±0.009,0.418±0.003,42.636±1.445,0.286±0.021,0.260±0.014,0.236±0.001,0.1
gnn_gat,820.7K,0.030,0.311±0.002,0.419±0.002,42.984±0.764,0.280±0.006,0.258±0.007,0.237±0.002,2.2
lstmgnn_mpnn,819.6K,0.067,0.303±0.001,0.414±0.001,42.113±0.168,0.299±0.001,0.278±0.006,0.235±0.002,2.0
bilstm,249.3K,0.012,0.312±0.012,0.419±0.005,42.968±1.089,0.279±0.028,0.262±0.008,0.237±0.002,2.0
graphgps,1.3M,0.119,0.273±0.009,0.391±0.004,40.742±2.138,0.369±0.022,0.346±0.014,0.214±0.007,12.7
lstmgnn_sage,265.9K,0.052,0.306±0.004,0.415±0.002,42.050±0.457,0.291±0.010,0.277±0.006,0.235±0.000,2.2
lstmgnn_gat,546.9K,0.084,0.305±0.007,0.415±0.003,42.086±0.607,0.293±0.017,0.278±0.005,0.236±0.001,2.3
dynamic_lstmgnn_gcn,257.7K,0.040,0.307±0.001,0.416±0.002,42.403±0.673,0.289±0.003,0.264±0.017,0.235±0.001,0.1
mamba,692.9K,0.009,0.285±0.002,0.410±0.001,45.368±1.190,0.342±0.005,0.287±0.007,0.268±0.009,0.4
mamba_gps,2.6M,0.208,0.255±0.002†,0.385±0.002,40.530±0.549,0.411±0.005†,0.353±0.013,0.223±0.002,17.9
